ICMR 1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global communications revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data derived from  various sources: PwC Global Entertainment and Media Outlook 2014-2018 @ www.pwc.com/outlook for television and radio revenues (both include advertising, license fees and subscription services only), Wik Consult / Ofcom estimates for postal revenues. IHS / industry data / Ofcom for telecoms revenues, which refer to retail revenues for fixed voice, broadband and mobile services. Interpretation and manipulation of data are solely Ofcom's responsibility. Ofcom has used IMF 2013 average exchange rates in converting from local currency to GBP.Note: Postal revenues are for our 17 comparator countries only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(£bn),2008,2009,2010,2011,2012,2013,CAGR,YoY,,,,,,,,,,,,,,,,,,,,,
RUS,22,4,1,0,27,,,,,,,,,,,,,,,,,,,,,,,,
BRA,31,12,2,0,46,,,,,,,,,,,,,,,,,,,,,,,,
KOR,19,5,2,0,26,,,,,,,,,,,,,,,,,,,,,,,,
SGP,3,1,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,
POL,6,2,1,0,9,,,,,,,,,,,,,,,,,,,,,,,,
SWE,5,2,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,
NED,8,3,2,0,13,,,,,,,,,,,,,,,,,,,,,,,,
ESP,16,3,2,0,21,,,,,,,,,,,,,,,,,,,,,,,,
AUS,16,5,1,1,23,,,,,,,,,,,,,,,,,,,,,,,,
ITA,19,7,3,0,29,,,,,,,,,,,,,,,,,,,,,,,,
GER,27,19,7,3,56,,,,,,,,,,,,,,,,,,,,,,,,
FRA,21,9,7,1,38,,,,,,,,,,,,,,,,,,,,,,,,
UK,29,13,8,1,51,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Communications sector revenues per head: 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data derived from  various sources: Ofcom analysis based on data from PwC's Global Entertainment and Media Outlook 2014-2018 @ www.pwc.com/outlook for radio revenues (include advertising, license fees and satellite subscription services only), Wik Consult / Ofcom estimates for postal revenues (no postal data available for Nigeria). IHS / industry data / Ofcom for television and telecoms revenues (telecoms revenues refer to retail revenues). Interpretation and manipulation of data are solely Ofcom's responsibility. Ofcom has used IMF 2013 average exchange rates in converting from local currency to GBP. Figures adjusted using data from http://stats.oecd.or ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Telecoms,Television,Post,Radio,Total,,,,,,,,,,,,,,,,,,,,,,,,
NGA,39,3,-,0,42,,,,,,,,,,,,,,,,,,,,,,,,
CHN,78,15,1,1,95,,,,,,,,,,,,,,,,,,,,,,,,
IND,12,4,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,
RUS,151,30,4,2,188,,,,,,,,,,,,,,,,,,,,,,,,
BRA,154,61,12,2,228,,,,,,,,,,,,,,,,,,,,,,,,
KOR,392,106,32,3,533,,,,,,,,,,,,,,,,,,,,,,,,
SGP,612,110,24,17,763,,,,,,,,,,,,,,,,,,,,,,,,
POL,164,57,20,3,244,,,,,,,,,,,,,,,,,,,,,,,,
SWE,472,202,116,12,802,,,,,,,,,,,,,,,,,,,,,,,,
NED,448,158,132,16,754,,,,,,,,,,,,,,,,,,,,,,,,
ESP,334,63,33,8,437,,,,,,,,,,,,,,,,,,,,,,,,
AUS,691,199,58,30,978,,,,,,,,,,,,,,,,,,,,,,,,
JPN,671,162,92,7,931,,,,,,,,,,,,,,,,,,,,,,,,
USA,567,348,95,40,1050,,,,,,,,,,,,,,,,,,,,,,,,
ITA,311,109,51,7,478,,,,,,,,,,,,,,,,,,,,,,,,
GER,323,230,88,36,677,,,,,,,,,,,,,,,,,,,,,,,,
FRA,317,134,109,17,577,,,,,,,,,,,,,,,,,,,,,,,,
UK,449,210,117,18,794,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Communications revenues per head adjusted for comparative price levels : 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data derived from various sources: Ofcom analysis based on data from PwC Global Entertainment and Media Outlook 2014-2018 @ www.pwc.com/outlook for radio revenues (include advertising, license fees and satellite subscription services only), Wik Consult / Ofcom estimates for postal revenues. IHS / industry data / Ofcom for television and telecoms revenues (telecoms revenues refer to retail revenues). Interpretation and manipulation of data are solely Ofcom's responsibility. Ofcom has used IMF 2013 average exchange rates in converting from local currency to GBP. Figures adjusted using data from http://stats.oecd.orgNote: Postal revenue data is not available for Nigeria ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Telecoms,Television,Post,Radio,Total,,,,,,,,,,,,,,,,,,,,,,,,
KOR,270,73,22,2,368,,,,,,,,,,,,,,,,,,,,,,,,
POL,75,26,9,1,112,,,,,,,,,,,,,,,,,,,,,,,,
SWE,463,198,114,12,786,,,,,,,,,,,,,,,,,,,,,,,,
NED,404,142,119,14,679,,,,,,,,,,,,,,,,,,,,,,,,
ESP,257,48,25,6,336,,,,,,,,,,,,,,,,,,,,,,,,
AUS,768,221,64,33,1087,,,,,,,,,,,,,,,,,,,,,,,,
JPN,559,135,77,6,776,,,,,,,,,,,,,,,,,,,,,,,,
USA,446,274,75,31,827,,,,,,,,,,,,,,,,,,,,,,,,
ITA,259,91,43,6,398,,,,,,,,,,,,,,,,,,,,,,,,
GER,269,192,73,30,564,,,,,,,,,,,,,,,,,,,,,,,,
FRA,278,118,96,15,506,,,,,,,,,,,,,,,,,,,,,,,,
UK,449,210,117,18,794,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources of global revenue for television and radio industries: 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: All data derived from PwC Global Entertainment and Media Outlook: 2014-2018 @ www.pwc.com/outlook. Notes: Ofcom is responsible for all growth calculations displayed. Ofcom uses an exchange rate of $1.563 to the GBP in line with the IMF average for 2013.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Revenues,,,Revenues,,,,,,,,,,,,,,,,,,,,,,,,,
Broadcast television advertising,103,,Radio advertising,22,,,,,,,,,,,,,,,,,,,,,,,,,
Television public licence fee,24,,Radio public licence fee,4,,,,,,,,,,,,,,,,,,,,,,,,,
Television subscriptions,127,,Satellite Radio subscriptions,2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Global advertising expenditure, by medium: 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (£bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data derived from PwC Global Entertainment and Media Outlook: 2014-2018 @ www.pwc.com/outlook. Notes: Ofcom is responsible for all growth calculations displayed. Ofcom uses an exchange rate of $1.563 to the GBP in line with the IMF average for 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,2009,2010,2011,2012,2013,CAGR,YOY,,,,,,,,,,,,,,,,,,,,,
Newspapers,68.8,55,54.8,54.3,53,52.2,-1.30%,-1.40%,,,,,,,,,,,,,,,,,,,,,
Magazines,28.3,22.6,23.4,24,23.9,23.9,1.40%,0.10%,,,,,,,,,,,,,,,,,,,,,
Television,94.3,84.5,93.9,98,102.8,105.2,5.60%,2.40%,,,,,,,,,,,,,,,,,,,,,
Radio,22.1,20,20.4,20.9,21.3,21.8,2.20%,2.50%,,,,,,,,,,,,,,,,,,,,,
Cinema,1.3,1.3,1.4,1.5,1.6,1.7,6.10%,4.20%,,,,,,,,,,,,,,,,,,,,,
Outdoor,20.3,18.6,20,21,21.6,22.6,5.10%,4.60%,,,,,,,,,,,,,,,,,,,,,
Internet,36.6,37.5,44.7,54.6,63.8,75,18.90%,17.60%,,,,,,,,,,,,,,,,,,,,,
,272,240,259,274,288,302,6.00%,5.00%,,,,,,,,,,,,,,,,,,,,,
ICMR 1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed voice and mobile connections per 100 population: 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connections per 100 population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:  IHS / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed voice,,,,,,,,,,Mobile,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,59,60,45,37,42,45,44,41,20,,130,117,140,159,106,114,131,107,91,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed broadband connections per 100 population: 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connections per 100 population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:  IHS / industry data / Ofcom. Note: Broadband connections include business connections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,
2013,36,38,34,23,29,35,28,26,15,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fixed broadband connections, by headline speeds: 2008 and 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of connections (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IHS/ Ofcom/operator data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed broadband connections by headline speed: 2008 and 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Country Code,Year,<=2Mbit/s,>2Mbit/s and <=8Mbit/s,>8Mbit/s and <30Mbit/s,>= 30Mbit/s and <100Mbit/s,>= 100Mbit/s,,,,,,,,,,,,,,,,,,,,,,
UK,UK,2008,26,68,7,0,0,,,,,,,,,,,,,,,,,,,,,,
UK,,2013,0,10,65,23,1,,,,,,,,,,,,,,,,,,,,,,
FRANCE,FRA,2008,25,24,50,1,0,,,,,,,,,,,,,,,,,,,,,,
FRANCE,,2013,2,8,82,3,6,,,,,,,,,,,,,,,,,,,,,,
GERMANY,GER,2008,6,76,18,0,0,,,,,,,,,,,,,,,,,,,,,,
GERMANY,,2013,6,39,40,13,3,,,,,,,,,,,,,,,,,,,,,,
ITALY,ITA,2008,32,60,8,0,0,,,,,,,,,,,,,,,,,,,,,,
ITALY,,2013,2,80,18,1,0,,,,,,,,,,,,,,,,,,,,,,
USA,USA,2008,44,24,33,0,0,,,,,,,,,,,,,,,,,,,,,,
USA,,2013,11,18,38,32,1,,,,,,,,,,,,,,,,,,,,,,
JAPAN,JPN,2008,3,39,20,23,16,,,,,,,,,,,,,,,,,,,,,,
JAPAN,,2013,0,3,22,21,54,,,,,,,,,,,,,,,,,,,,,,
AUSTRALIA,AUS,2008,39,30,25,6,0,,,,,,,,,,,,,,,,,,,,,,
AUSTRALIA,,2013,3,34,46,16,1,,,,,,,,,,,,,,,,,,,,,,
SPAIN,ESP,2008,13,78,10,0,0,,,,,,,,,,,,,,,,,,,,,,
SPAIN,,2013,2,40,41,11,6,,,,,,,,,,,,,,,,,,,,,,
NETHERLANDS,NED,2008,30,33,29,8,0,,,,,,,,,,,,,,,,,,,,,,
NETHERLANDS,,2013,1,31,27,33,9,,,,,,,,,,,,,,,,,,,,,,
SWEDEN,SWE,2008,16,48,36,0,0,,,,,,,,,,,,,,,,,,,,,,
SWEDEN,,2013,1,25,36,6,31,,,,,,,,,,,,,,,,,,,,,,
POLAND,POL,2008,83,15,2,0,0,,,,,,,,,,,,,,,,,,,,,,
POLAND,,2013,6,35,20,37,2,,,,,,,,,,,,,,,,,,,,,,
SINGAPORE,SGP,2008,1,13,34,51,2,,,,,,,,,,,,,,,,,,,,,,
SINGAPORE,,2013,0,2,17,44,37,,,,,,,,,,,,,,,,,,,,,,
SOUTH_KOREA,KOR,2008,1,5,35,35,25,,,,,,,,,,,,,,,,,,,,,,
SOUTH_KOREA,,2013,0,0,14,29,57,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,BRA,2008,76,20,4,1,0,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,,2013,40,37,15,8,1,,,,,,,,,,,,,,,,,,,,,,
RUSSIA,RUS,2008,11,39,32,19,0,,,,,,,,,,,,,,,,,,,,,,
RUSSIA,,2013,1,19,36,41,4,,,,,,,,,,,,,,,,,,,,,,
INDIA,IND,2008,99,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,
INDIA,,2013,50,34,13,3,0,,,,,,,,,,,,,,,,,,,,,,
CHINA,CHN,2008,17,62,18,4,0,,,,,,,,,,,,,,,,,,,,,,
CHINA,,2013,4,59,23,12,1,,,,,,,,,,,,,,,,,,,,,,
NIGERIA,NGA,2008,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
NIGERIA,,2013,98,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTV homes per 100 TV households: 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTV homes per 100 TV households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:  IHS / industry data / Ofcom. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,PP change,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,100,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,95,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,68,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,100,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,95,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,100,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,99,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,75,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ownership and personal use of devices (smartphone, tablet laptop, desktop, digital radio)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014Base: All respondents, UK=1011, FRA=1027, GER=1006, ITA=1006, USA=1000, JPN=1003, AUS=1000, ESP=1002, CHN=1010 Q3a. Which of the following devices do you have in your home? (Tablet, Laptop, Desktop, Digital radio, DVR, HDTV, Smart TV, 3D TV) Q.4a Which of the following devices do you personally use? (Smartphone) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,
Smartphone,63,57,62,76,50,77,69,77,80,,,,,,,,,,,,,,,,,,,,
Tablet,46,42,37,54,38,28,51,59,60,,,,,,,,,,,,,,,,,,,,
Laptop,76,75,78,79,71,79,81,82,84,,,,,,,,,,,,,,,,,,,,
Desktop,54,66,66,67,65,58,64,74,82,,,,,,,,,,,,,,,,,,,,
Digital radio,31,6,9,17,5,4,17,13,13,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ownership and personal use of devices (DVR, HDTV, VoD, smart TV and 3DTV)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014Base: All respondents, UK=1011, FRA=1027, GER=1006, ITA=1006, USA=1000, JPN=1003, AUS=1000, ESP=1002, CHN=1010. Q3a. Which of the following devices do you have in your home? (DVR, HDTV, Smart TV, 3D TV)  Q3b. Which of the following services do you have in your home (Video on Demand (VoD Service)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,
DVR,30,14,25,31,38,22,31,24,14,,,,,,,,,,,,,,,,,,,,
HDTV,63,40,48,56,66,27,67,61,37,,,,,,,,,,,,,,,,,,,,
On Demand (VOD) TV service,22,18,10,15,28,8,7,8,14,,,,,,,,,,,,,,,,,,,,
Smart TV,22,12,26,25,14,16,27,21,34,,,,,,,,,,,,,,,,,,,,
3D TV,9,8,17,15,8,6,18,14,13,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regular use of selected communications services / media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research October 2014Base: All respondents, UK=1011, FRA=1027, GER=1006, ITA=1006, USA=1000, JPN=1003, AUS=1000, ESP=1002, CHN=1010. Q.6 Which of the following do you regularly do (at least once a week)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,
Watch TV ,88,88,90,90,85,88,89,91,79,,,,,,,,,,,,,,,,,,,,
Listen to the radio,64,73,75,74,63,40,63,72,28,,,,,,,,,,,,,,,,,,,,
Read national newspapers,44,32,33,58,20,43,38,54,32,,,,,,,,,,,,,,,,,,,,
Read local newspapers,36,45,60,54,48,25,51,51,45,,,,,,,,,,,,,,,,,,,,
Send letter / parcel items through the post,28,34,40,27,26,18,26,15,12,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICMR 1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comparison of ‘lowest available’ stand-alone pricing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index (UK = 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom, using data supplied by TeligenNote: Excludes the TV licence fee (where applicable)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fixed voice,Mobile phone,Fixed broadband,Pay-TV,,,,,,,,,,,,,,,,,,,,,,,,,
UK,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,114,95,175,89,,,,,,,,,,,,,,,,,,,,,,,,,
GER,63,186,139,71,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,65,142,174,62,,,,,,,,,,,,,,,,,,,,,,,,,
